Array,layer_thick,orientation,infill_pattern,infill_density,mwcnt,graphene,tensile_str,flexural_str
S197,0.19,On Long Edge,Honeycomb,90,0.0,0.0,24.25,41.3
S198,0.19,On Long Edge,Linear,50,0.0,0.0,24.23,48.44
S199,0.19,On Long Edge,Linear,50,0.0,0.0,25.63,48.17
S200,0.19,On Long Edge,Linear,50,0.0,0.0,24.33,44.01
S201,0.29,On Short Edge,Grid,90,0.0,0.0,11.01,19.27
S202,0.29,On Short Edge,Grid,90,0.0,0.0,10.61,20.58
S203,0.29,On Short Edge,Grid,90,0.0,0.0,10.07,18.84
S204,0.19,On Short Edge,Linear,50,0.0,0.0,9.46,19.74
S205,0.19,On Short Edge,Linear,50,0.0,0.0,9.98,16.03
S206,0.19,On Short Edge,Linear,50,0.0,0.0,8.01,21.48
S207,0.19,On Long Edge,Honeycomb,50,0.0,0.0,24.15,38.33
S208,0.19,On Long Edge,Honeycomb,50,0.0,0.0,25.22,40.29
S209,0.19,On Long Edge,Honeycomb,50,0.0,0.0,24.89,40.18
S210,0.19,Flat,Grid,90,0.0,0.0,28.18,43.99
S211,0.19,Flat,Grid,90,0.0,0.0,26.15,42.21
S212,0.19,Flat,Grid,90,0.0,0.0,26.93,43.11
S213,0.29,Flat,Grid,70,0.0,0.0,25.11,35.33
S214,0.29,Flat,Grid,70,0.0,0.0,26.89,29.78
S215,0.29,Flat,Grid,70,0.0,0.0,24.92,29.15
S216,0.29,Flat,Honeycomb,90,0.0,0.5,23.13,42.72
S217,0.29,Flat,Honeycomb,90,0.0,0.5,24.72,42.13
S218,0.29,Flat,Honeycomb,90,0.0,0.5,24.84,40.77
S219,0.39,Flat,Honeycomb,50,0.0,0.5,18.41,28.63
S220,0.39,Flat,Honeycomb,50,0.0,0.5,20.29,28.65
S221,0.39,Flat,Honeycomb,50,0.0,0.5,18.09,28.6
S222,0.19,On Short Edge,Grid,70,0.0,0.5,14.68,42.49
S223,0.19,On Short Edge,Grid,70,0.0,0.5,16.19,40.99
S224,0.19,On Short Edge,Grid,70,0.0,0.5,15.4,40.88
S225,0.29,On Short Edge,Grid,50,0.0,0.5,3.91,24.09
S226,0.29,On Short Edge,Grid,50,0.0,0.5,3.08,23.67
S227,0.29,On Short Edge,Grid,50,0.0,0.5,3.49,22.46
S228,0.39,On Long Edge,Grid,90,0.0,0.5,33.92,43.65
S229,0.39,On Long Edge,Grid,90,0.0,0.5,33.52,43.5
S230,0.39,On Long Edge,Grid,90,0.0,0.5,35.78,44.65
S231,0.19,Flat,Grid,50,0.0,0.5,25.88,33.88
S232,0.19,Flat,Grid,50,0.0,0.5,26.41,33.48
S233,0.19,Flat,Grid,50,0.0,0.5,27.06,34.39
S234,0.29,Flat,Honeycomb,70,0.0,0.5,25.74,41.84
S235,0.29,Flat,Honeycomb,70,0.0,0.5,25.97,40.24
S236,0.29,Flat,Honeycomb,70,0.0,0.5,24.86,43.65
S237,0.39,Flat,Linear,90,0.0,0.5,25.62,39.75
S238,0.39,Flat,Linear,90,0.0,0.5,24.66,40.27
S239,0.39,Flat,Linear,90,0.0,0.5,26.91,41.02
S240,0.39,On Long Edge,Grid,70,0.0,0.5,36.75,44.05
S241,0.39,On Long Edge,Grid,70,0.0,0.5,35.42,45.13
S242,0.39,On Long Edge,Grid,70,0.0,0.5,36.18,43.61
S243,0.39,On Long Edge,Linear,70,0.0,0.5,32.28,45.72
S244,0.39,On Long Edge,Linear,70,0.0,0.5,34.38,47.55
S245,0.39,On Long Edge,Linear,70,0.0,0.5,32.86,48.1
S246,0.19,Flat,Honeycomb,50,0.0,0.5,23.09,35.45
S247,0.19,Flat,Honeycomb,50,0.0,0.5,24.39,36.75
S248,0.19,Flat,Honeycomb,50,0.0,0.5,22.08,36.08
S249,0.29,On Short Edge,Honeycomb,90,0.0,0.5,4.39,36.56
S250,0.29,On Short Edge,Honeycomb,90,0.0,0.5,6.01,39.62
S251,0.29,On Short Edge,Honeycomb,90,0.0,0.5,3.92,38.37
S252,0.29,Flat,Linear,70,0.0,0.5,25.13,41.15
S253,0.29,Flat,Linear,70,0.0,0.5,25.18,40.8
S254,0.29,Flat,Linear,70,0.0,0.5,25.75,40.83
S255,0.39,On Long Edge,Honeycomb,70,0.0,0.5,33.61,47.46
S256,0.39,On Long Edge,Honeycomb,70,0.0,0.5,33.16,46.66
S257,0.39,On Long Edge,Honeycomb,70,0.0,0.5,32.85,48.21
S258,0.39,On Short Edge,Honeycomb,70,0.0,0.5,9.75,35.96
S259,0.39,On Short Edge,Honeycomb,70,0.0,0.5,9.38,37.57
S260,0.39,On Short Edge,Honeycomb,70,0.0,0.5,7.79,37.37
S261,0.29,On Short Edge,Honeycomb,50,0.0,0.5,0.5,26.3
S262,0.29,On Short Edge,Honeycomb,50,0.0,0.5,0.5,24.09
S263,0.29,On Short Edge,Honeycomb,50,0.0,0.5,0.5,25.82
S264,0.29,On Long Edge,Grid,50,0.0,0.5,28.27,33.0
S265,0.29,On Long Edge,Grid,50,0.0,0.5,28.62,32.29
S266,0.29,On Long Edge,Grid,50,0.0,0.5,27.98,32.71
S267,0.19,On Long Edge,Grid,90,0.0,0.5,36.5,52.23
S268,0.19,On Long Edge,Grid,90,0.0,0.5,36.31,51.83
S269,0.19,On Long Edge,Grid,90,0.0,0.5,37.99,51.65
S270,0.29,On Short Edge,Linear,90,0.0,0.5,5.42,36.02
S271,0.29,On Short Edge,Linear,90,0.0,0.5,5.14,38.41
S272,0.29,On Short Edge,Linear,90,0.0,0.5,2.44,36.33
S273,0.29,On Long Edge,Honeycomb,90,0.0,0.5,29.77,48.3
S274,0.29,On Long Edge,Honeycomb,90,0.0,0.5,29.58,47.92
S275,0.29,On Long Edge,Honeycomb,90,0.0,0.5,29.33,48.34
S276,0.29,On Long Edge,Linear,50,0.0,0.5,25.09,35.87
S277,0.29,On Long Edge,Linear,50,0.0,0.5,24.35,35.25
S278,0.29,On Long Edge,Linear,50,0.0,0.5,23.6,35.23
S279,0.19,On Long Edge,Linear,90,0.0,0.5,33.44,53.59
S280,0.19,On Long Edge,Linear,90,0.0,0.5,33.35,55.91
S281,0.19,On Long Edge,Linear,90,0.0,0.5,33.87,53.67
S282,0.29,Flat,Linear,50,0.0,0.5,19.24,28.82
S283,0.29,Flat,Linear,50,0.0,0.5,16.33,28.27
S284,0.29,Flat,Linear,50,0.0,0.5,16.48,28.88
S285,0.29,On Short Edge,Linear,50,0.0,0.5,0.5,26.55
S286,0.29,On Short Edge,Linear,50,0.0,0.5,0.5,24.79
S287,0.29,On Short Edge,Linear,50,0.0,0.5,0.71,22.94
S288,0.19,Flat,Linear,90,0.0,0.5,27.42,48.27
S289,0.19,Flat,Linear,90,0.0,0.5,25.88,48.61
S290,0.19,Flat,Linear,90,0.0,0.5,27.51,47.16
S291,0.39,On Short Edge,Grid,90,0.0,0.5,10.51,36.09
S292,0.39,On Short Edge,Grid,90,0.0,0.5,10.1,34.21
S293,0.39,On Short Edge,Grid,90,0.0,0.5,9.53,33.19
S294,0.39,Flat,Grid,70,0.0,0.5,31.73,37.71
S295,0.39,Flat,Grid,70,0.0,0.5,31.05,38.06
S296,0.39,Flat,Grid,70,0.0,0.5,31.42,38.82
S297,0.19,On Long Edge,Linear,70,0.0,0.5,36.87,53.82
S298,0.19,On Long Edge,Linear,70,0.0,0.5,35.69,53.39
S299,0.19,On Long Edge,Linear,70,0.0,0.5,35.53,54.65
S300,0.39,Flat,Honeycomb,90,0.0,0.5,25.33,39.9
S301,0.39,Flat,Honeycomb,90,0.0,0.5,25.43,42.02
S302,0.39,Flat,Honeycomb,90,0.0,0.5,25.02,42.5
S303,0.19,On Long Edge,Honeycomb,70,0.0,0.5,35.75,53.92
S304,0.19,On Long Edge,Honeycomb,70,0.0,0.5,34.84,56.47
S305,0.19,On Long Edge,Honeycomb,70,0.0,0.5,37.03,55.03
S306,0.29,On Short Edge,Grid,70,0.0,0.5,11.76,34.55
S307,0.29,On Short Edge,Grid,70,0.0,0.5,13.71,35.72
S308,0.29,On Short Edge,Grid,70,0.0,0.5,11.61,36.27
S309,0.19,On Short Edge,Honeycomb,70,0.0,0.5,12.8,44.65
S310,0.19,On Short Edge,Honeycomb,70,0.0,0.5,11.66,44.88
S311,0.19,On Short Edge,Honeycomb,70,0.0,0.5,14.06,45.69
S312,0.29,Flat,Grid,50,0.0,0.5,23.6,26.94
S313,0.29,Flat,Grid,50,0.0,0.5,21.27,27.29
S314,0.29,Flat,Grid,50,0.0,0.5,22.21,28.43
S315,0.19,On Short Edge,Grid,90,0.0,0.5,11.49,42.97
S316,0.19,On Short Edge,Grid,90,0.0,0.5,12.87,41.15
S317,0.19,On Short Edge,Grid,90,0.0,0.5,12.1,40.01
S318,0.19,Flat,Grid,70,0.0,0.5,34.8,46.15
S319,0.19,Flat,Grid,70,0.0,0.5,32.9,44.87
S320,0.19,Flat,Grid,70,0.0,0.5,33.75,47.63
S321,0.29,Flat,Honeycomb,50,0.0,0.5,18.44,28.58
S322,0.29,Flat,Honeycomb,50,0.0,0.5,18.45,29.73
S323,0.29,Flat,Honeycomb,50,0.0,0.5,16.25,29.93
S324,0.19,Flat,Honeycomb,90,0.0,0.5,27.51,48.98
S325,0.19,Flat,Honeycomb,90,0.0,0.5,29.38,49.38
S326,0.19,Flat,Honeycomb,90,0.0,0.5,27.48,47.3
S327,0.39,On Short Edge,Honeycomb,90,0.0,0.5,8.76,36.6
S328,0.39,On Short Edge,Honeycomb,90,0.0,0.5,6.46,36.52
S329,0.39,On Short Edge,Honeycomb,90,0.0,0.5,6.63,36.41
S330,0.39,Flat,Linear,70,0.0,0.5,26.47,39.79
S331,0.39,Flat,Linear,70,0.0,0.5,26.96,39.8
S332,0.39,Flat,Linear,70,0.0,0.5,26.34,40.4
S333,0.39,On Short Edge,Linear,70,0.0,0.5,8.56,37.49
S334,0.39,On Short Edge,Linear,70,0.0,0.5,6.4,37.1
S335,0.39,On Short Edge,Linear,70,0.0,0.5,9.91,34.16
S336,0.19,On Short Edge,Grid,50,0.0,0.5,8.0,29.12
S337,0.19,On Short Edge,Grid,50,0.0,0.5,7.05,28.75
S338,0.19,On Short Edge,Grid,50,0.0,0.5,7.31,31.1
S339,0.29,On Long Edge,Grid,90,0.0,0.5,33.58,47.1
S340,0.29,On Long Edge,Grid,90,0.0,0.5,33.39,44.86
S341,0.29,On Long Edge,Grid,90,0.0,0.5,32.27,46.37
S342,0.39,On Short Edge,Honeycomb,50,0.0,0.5,0.65,25.13
S343,0.39,On Short Edge,Honeycomb,50,0.0,0.5,1.53,24.12
S344,0.39,On Short Edge,Honeycomb,50,0.0,0.5,2.39,24.88
S345,0.39,On Long Edge,Grid,50,0.0,0.5,28.99,33.62
S346,0.39,On Long Edge,Grid,50,0.0,0.5,28.34,33.11
S347,0.39,On Long Edge,Grid,50,0.0,0.5,29.85,32.25
S348,0.19,Flat,Honeycomb,70,0.0,0.5,30.86,47.49
S349,0.19,Flat,Honeycomb,70,0.0,0.5,31.4,48.48
S350,0.19,Flat,Honeycomb,70,0.0,0.5,30.09,49.63
S351,0.39,On Short Edge,Linear,90,0.0,0.5,5.31,34.46
S352,0.39,On Short Edge,Linear,90,0.0,0.5,4.54,36.33
S353,0.39,On Short Edge,Linear,90,0.0,0.5,4.79,37.4
S354,0.29,On Long Edge,Linear,90,0.0,0.5,26.87,49.28
S355,0.29,On Long Edge,Linear,90,0.0,0.5,28.93,47.62
S356,0.29,On Long Edge,Linear,90,0.0,0.5,28.25,48.08
S357,0.29,Flat,Linear,90,0.0,0.5,22.83,42.3
S358,0.29,Flat,Linear,90,0.0,0.5,22.97,41.42
S359,0.29,Flat,Linear,90,0.0,0.5,22.54,41.23
S360,0.39,On Long Edge,Honeycomb,90,0.0,0.5,30.8,45.6
S361,0.39,On Long Edge,Honeycomb,90,0.0,0.5,29.31,47.88
S362,0.39,On Long Edge,Honeycomb,90,0.0,0.5,30.68,47.01
S363,0.39,On Long Edge,Linear,50,0.0,0.5,25.33,34.65
S364,0.39,On Long Edge,Linear,50,0.0,0.5,24.83,33.61
S365,0.39,On Long Edge,Linear,50,0.0,0.5,25.49,33.42
S366,0.39,Flat,Linear,50,0.0,0.5,19.81,26.32
S367,0.39,Flat,Linear,50,0.0,0.5,20.36,28.34
S368,0.39,Flat,Linear,50,0.0,0.5,19.67,28.82
S369,0.39,On Short Edge,Linear,50,0.0,0.5,2.74,24.64
S370,0.39,On Short Edge,Linear,50,0.0,0.5,0.5,22.5
S371,0.39,On Short Edge,Linear,50,0.0,0.5,0.68,23.72
S372,0.39,On Long Edge,Honeycomb,50,0.0,0.5,26.29,34.44
S373,0.39,On Long Edge,Honeycomb,50,0.0,0.5,25.99,34.41
S374,0.39,On Long Edge,Honeycomb,50,0.0,0.5,25.27,33.8
S375,0.29,On Long Edge,Grid,70,0.0,0.5,34.76,44.98
S376,0.29,On Long Edge,Grid,70,0.0,0.5,34.71,47.22
S377,0.29,On Long Edge,Grid,70,0.0,0.5,34.73,48.68
S378,0.39,Flat,Grid,90,0.0,0.5,28.58,38.36
S379,0.39,Flat,Grid,90,0.0,0.5,27.37,38.84
S380,0.39,Flat,Grid,90,0.0,0.5,27.62,38.3
S381,0.29,On Long Edge,Linear,70,0.0,0.5,33.89,47.94
S382,0.29,On Long Edge,Linear,70,0.0,0.5,32.62,47.38
S383,0.29,On Long Edge,Linear,70,0.0,0.5,31.56,49.68
S384,0.29,On Long Edge,Honeycomb,70,0.0,0.5,31.53,50.49
S385,0.29,On Long Edge,Honeycomb,70,0.0,0.5,32.73,48.28
S386,0.29,On Long Edge,Honeycomb,70,0.0,0.5,32.67,49.71
S387,0.29,On Short Edge,Honeycomb,70,0.0,0.5,8.58,36.71
S388,0.29,On Short Edge,Honeycomb,70,0.0,0.5,7.37,37.94
S389,0.29,On Short Edge,Honeycomb,70,0.0,0.5,7.95,38.75
S390,0.19,Flat,Linear,70,0.0,0.5,30.22,46.63
S391,0.19,Flat,Linear,70,0.0,0.5,30.4,48.44
S392,0.19,Flat,Linear,70,0.0,0.5,30.56,48.88
S393,0.19,On Short Edge,Linear,70,0.0,0.5,12.61,44.09
S394,0.19,On Short Edge,Linear,70,0.0,0.5,11.8,42.12
S395,0.19,On Short Edge,Linear,70,0.0,0.5,12.25,43.85
S396,0.39,On Short Edge,Grid,70,0.0,0.5,13.03,33.11
S397,0.39,On Short Edge,Grid,70,0.0,0.5,11.81,35.28
S398,0.39,On Short Edge,Grid,70,0.0,0.5,12.75,34.93
S399,0.19,On Short Edge,Honeycomb,50,0.0,0.5,4.85,32.07
S400,0.19,On Short Edge,Honeycomb,50,0.0,0.5,5.66,31.56
S401,0.19,On Short Edge,Honeycomb,50,0.0,0.5,4.91,31.61
S402,0.19,On Long Edge,Grid,50,0.0,0.5,32.0,39.82
S403,0.19,On Long Edge,Grid,50,0.0,0.5,32.59,39.66
S404,0.19,On Long Edge,Grid,50,0.0,0.5,33.52,39.28
S405,0.39,Flat,Grid,50,0.0,0.5,23.27,25.7
S406,0.39,Flat,Grid,50,0.0,0.5,24.74,26.29
S407,0.39,Flat,Grid,50,0.0,0.5,24.37,24.73
S408,0.19,On Short Edge,Linear,90,0.0,0.5,9.25,44.16
S409,0.19,On Short Edge,Linear,90,0.0,0.5,9.09,44.33
S410,0.19,On Short Edge,Linear,90,0.0,0.5,8.55,44.65
S411,0.19,On Long Edge,Honeycomb,90,0.0,0.5,35.66,54.42
S412,0.19,On Long Edge,Honeycomb,90,0.0,0.5,33.19,56.11
S413,0.19,On Long Edge,Honeycomb,90,0.0,0.5,35.02,54.27
S414,0.19,On Long Edge,Linear,50,0.0,0.5,28.01,41.64
S415,0.19,On Long Edge,Linear,50,0.0,0.5,27.18,41.05
S416,0.19,On Long Edge,Linear,50,0.0,0.5,27.48,41.19
S417,0.29,On Short Edge,Grid,90,0.0,0.5,8.63,35.49
S418,0.29,On Short Edge,Grid,90,0.0,0.5,10.06,34.35
S419,0.29,On Short Edge,Grid,90,0.0,0.5,9.55,35.08
S420,0.19,On Short Edge,Linear,50,0.0,0.5,4.27,31.89
S421,0.19,On Short Edge,Linear,50,0.0,0.5,3.3,31.62
S422,0.19,On Short Edge,Linear,50,0.0,0.5,4.46,31.72
S423,0.19,On Long Edge,Honeycomb,50,0.0,0.5,29.16,44.96
S424,0.19,On Long Edge,Honeycomb,50,0.0,0.5,28.32,42.19
S425,0.19,On Long Edge,Honeycomb,50,0.0,0.5,28.34,42.16
S426,0.19,Flat,Grid,90,0.0,0.5,30.64,46.86
S427,0.19,Flat,Grid,90,0.0,0.5,32.49,45.23
S428,0.19,Flat,Grid,90,0.0,0.5,30.46,46.19
S429,0.29,Flat,Grid,70,0.0,0.5,29.21,40.4
S430,0.29,Flat,Grid,70,0.0,0.5,29.89,38.4
S431,0.29,Flat,Grid,70,0.0,0.5,31.1,41.48
S432,0.29,Flat,Honeycomb,90,0.0,1.0,21.37,42.4
S433,0.29,Flat,Honeycomb,90,0.0,1.0,22.43,43.12
S434,0.29,Flat,Honeycomb,90,0.0,1.0,22.87,44.77
S435,0.39,Flat,Honeycomb,50,0.0,1.0,18.08,25.06
S436,0.39,Flat,Honeycomb,50,0.0,1.0,16.66,25.13
S437,0.39,Flat,Honeycomb,50,0.0,1.0,18.25,27.62
S438,0.19,On Short Edge,Grid,70,0.0,1.0,15.33,32.19
S439,0.19,On Short Edge,Grid,70,0.0,1.0,15.93,33.14
S440,0.19,On Short Edge,Grid,70,0.0,1.0,18.94,31.45
S441,0.29,On Short Edge,Grid,50,0.0,1.0,2.77,23.05
S442,0.29,On Short Edge,Grid,50,0.0,1.0,4.16,23.84
S443,0.29,On Short Edge,Grid,50,0.0,1.0,4.04,21.67
S444,0.39,On Long Edge,Grid,90,0.0,1.0,34.01,44.7
S445,0.39,On Long Edge,Grid,90,0.0,1.0,34.28,44.11
S446,0.39,On Long Edge,Grid,90,0.0,1.0,34.57,44.76
S447,0.19,Flat,Grid,50,0.0,1.0,25.55,34.25
S448,0.19,Flat,Grid,50,0.0,1.0,23.72,33.75
S449,0.19,Flat,Grid,50,0.0,1.0,25.35,32.8
S450,0.29,Flat,Honeycomb,70,0.0,1.0,24.93,37.37
S451,0.29,Flat,Honeycomb,70,0.0,1.0,24.53,39.01
S452,0.29,Flat,Honeycomb,70,0.0,1.0,24.72,37.8
S453,0.39,Flat,Linear,90,0.0,1.0,21.25,40.41
S454,0.39,Flat,Linear,90,0.0,1.0,23.63,41.81
S455,0.39,Flat,Linear,90,0.0,1.0,22.5,39.89
S456,0.39,On Long Edge,Grid,70,0.0,1.0,36.0,40.13
S457,0.39,On Long Edge,Grid,70,0.0,1.0,35.59,38.85
S458,0.39,On Long Edge,Grid,70,0.0,1.0,36.42,38.76
S459,0.39,On Long Edge,Linear,70,0.0,1.0,30.91,41.97
S460,0.39,On Long Edge,Linear,70,0.0,1.0,32.71,40.77
S461,0.39,On Long Edge,Linear,70,0.0,1.0,31.6,41.09
S462,0.19,Flat,Honeycomb,50,0.0,1.0,22.24,33.08
S463,0.19,Flat,Honeycomb,50,0.0,1.0,20.16,34.95
S464,0.19,Flat,Honeycomb,50,0.0,1.0,22.68,34.51
S465,0.29,On Short Edge,Honeycomb,90,0.0,1.0,5.33,36.44
S466,0.29,On Short Edge,Honeycomb,90,0.0,1.0,4.27,32.42
S467,0.29,On Short Edge,Honeycomb,90,0.0,1.0,6.51,34.09
S468,0.29,Flat,Linear,70,0.0,1.0,22.11,40.68
S469,0.29,Flat,Linear,70,0.0,1.0,23.61,39.43
S470,0.29,Flat,Linear,70,0.0,1.0,21.8,40.85
S471,0.39,On Long Edge,Honeycomb,70,0.0,1.0,33.38,39.45
S472,0.39,On Long Edge,Honeycomb,70,0.0,1.0,34.8,38.49
S473,0.39,On Long Edge,Honeycomb,70,0.0,1.0,30.8,38.87
S474,0.39,On Short Edge,Honeycomb,70,0.0,1.0,10.27,24.45
S475,0.39,On Short Edge,Honeycomb,70,0.0,1.0,10.04,24.56
S476,0.39,On Short Edge,Honeycomb,70,0.0,1.0,8.84,25.64
S477,0.29,On Short Edge,Honeycomb,50,0.0,1.0,0.5,24.09
S478,0.29,On Short Edge,Honeycomb,50,0.0,1.0,0.66,23.44
S479,0.29,On Short Edge,Honeycomb,50,0.0,1.0,0.93,23.43
S480,0.29,On Long Edge,Grid,50,0.0,1.0,26.4,38.67
S481,0.29,On Long Edge,Grid,50,0.0,1.0,25.87,38.06
S482,0.29,On Long Edge,Grid,50,0.0,1.0,25.53,38.78
S483,0.19,On Long Edge,Grid,90,0.0,1.0,35.03,54.12
S484,0.19,On Long Edge,Grid,90,0.0,1.0,35.79,50.93
S485,0.19,On Long Edge,Grid,90,0.0,1.0,35.99,51.67
S486,0.29,On Short Edge,Linear,90,0.0,1.0,5.82,36.18
S487,0.29,On Short Edge,Linear,90,0.0,1.0,4.29,34.96
S488,0.29,On Short Edge,Linear,90,0.0,1.0,4.29,34.43
S489,0.29,On Long Edge,Honeycomb,90,0.0,1.0,26.4,50.67
S490,0.29,On Long Edge,Honeycomb,90,0.0,1.0,29.21,50.34
S491,0.29,On Long Edge,Honeycomb,90,0.0,1.0,27.13,49.88
S492,0.29,On Long Edge,Linear,50,0.0,1.0,21.37,39.42
S493,0.29,On Long Edge,Linear,50,0.0,1.0,23.15,41.43
S494,0.29,On Long Edge,Linear,50,0.0,1.0,21.11,40.59
S495,0.19,On Long Edge,Linear,90,0.0,1.0,31.82,53.53
S496,0.19,On Long Edge,Linear,90,0.0,1.0,31.28,54.87
S497,0.19,On Long Edge,Linear,90,0.0,1.0,30.39,55.27
S498,0.29,Flat,Linear,50,0.0,1.0,17.32,34.06
S499,0.29,Flat,Linear,50,0.0,1.0,14.51,33.99
S500,0.29,Flat,Linear,50,0.0,1.0,16.85,34.34
S501,0.29,On Short Edge,Linear,50,0.0,1.0,0.5,24.59
S502,0.29,On Short Edge,Linear,50,0.0,1.0,0.5,25.61
S503,0.29,On Short Edge,Linear,50,0.0,1.0,0.5,25.85
S504,0.19,Flat,Linear,90,0.0,1.0,26.63,47.88
S505,0.19,Flat,Linear,90,0.0,1.0,26.95,48.6
S506,0.19,Flat,Linear,90,0.0,1.0,27.85,47.72
S507,0.39,On Short Edge,Grid,90,0.0,1.0,13.08,28.47
S508,0.39,On Short Edge,Grid,90,0.0,1.0,10.25,27.79
S509,0.39,On Short Edge,Grid,90,0.0,1.0,10.64,28.69
S510,0.39,Flat,Grid,70,0.0,1.0,30.14,30.87
S511,0.39,Flat,Grid,70,0.0,1.0,29.49,33.55
S512,0.39,Flat,Grid,70,0.0,1.0,31.57,31.87
S513,0.19,On Long Edge,Linear,70,0.0,1.0,34.02,50.63
S514,0.19,On Long Edge,Linear,70,0.0,1.0,34.7,49.5
S515,0.19,On Long Edge,Linear,70,0.0,1.0,33.67,48.87
S516,0.39,Flat,Honeycomb,90,0.0,1.0,24.5,38.08
S517,0.39,Flat,Honeycomb,90,0.0,1.0,23.46,38.99
S518,0.39,Flat,Honeycomb,90,0.0,1.0,22.58,36.0
S519,0.19,On Long Edge,Honeycomb,70,0.0,1.0,35.41,49.31
S520,0.19,On Long Edge,Honeycomb,70,0.0,1.0,37.14,47.83
S521,0.19,On Long Edge,Honeycomb,70,0.0,1.0,36.42,48.24
S522,0.29,On Short Edge,Grid,70,0.0,1.0,11.28,29.45
S523,0.29,On Short Edge,Grid,70,0.0,1.0,12.26,27.03
S524,0.29,On Short Edge,Grid,70,0.0,1.0,13.23,29.94
S525,0.19,On Short Edge,Honeycomb,70,0.0,1.0,12.11,33.33
S526,0.19,On Short Edge,Honeycomb,70,0.0,1.0,13.44,33.2
S527,0.19,On Short Edge,Honeycomb,70,0.0,1.0,12.2,32.28
S528,0.29,Flat,Grid,50,0.0,1.0,19.42,31.38
S529,0.29,Flat,Grid,50,0.0,1.0,20.09,29.85
S530,0.29,Flat,Grid,50,0.0,1.0,20.36,27.41
S531,0.19,On Short Edge,Grid,90,0.0,1.0,14.91,35.29
S532,0.19,On Short Edge,Grid,90,0.0,1.0,13.12,35.9
S533,0.19,On Short Edge,Grid,90,0.0,1.0,12.02,38.15
S534,0.19,Flat,Grid,70,0.0,1.0,31.5,40.51
S535,0.19,Flat,Grid,70,0.0,1.0,31.99,40.64
S536,0.19,Flat,Grid,70,0.0,1.0,32.14,38.9
S537,0.29,Flat,Honeycomb,50,0.0,1.0,17.54,30.7
S538,0.29,Flat,Honeycomb,50,0.0,1.0,14.51,30.77
S539,0.29,Flat,Honeycomb,50,0.0,1.0,18.14,32.03
S540,0.19,Flat,Honeycomb,90,0.0,1.0,26.15,45.83
S541,0.19,Flat,Honeycomb,90,0.0,1.0,26.18,48.22
S542,0.19,Flat,Honeycomb,90,0.0,1.0,27.01,46.6
S543,0.39,On Short Edge,Honeycomb,90,0.0,1.0,9.15,29.48
S544,0.39,On Short Edge,Honeycomb,90,0.0,1.0,7.62,29.05
S545,0.39,On Short Edge,Honeycomb,90,0.0,1.0,7.84,29.21
S546,0.39,Flat,Linear,70,0.0,1.0,26.12,34.69
S547,0.39,Flat,Linear,70,0.0,1.0,26.13,34.56
S548,0.39,Flat,Linear,70,0.0,1.0,25.35,32.67
S549,0.39,On Short Edge,Linear,70,0.0,1.0,10.24,26.79
S550,0.39,On Short Edge,Linear,70,0.0,1.0,10.34,23.59
S551,0.39,On Short Edge,Linear,70,0.0,1.0,11.63,26.31
S552,0.19,On Short Edge,Grid,50,0.0,1.0,9.13,24.38
S553,0.19,On Short Edge,Grid,50,0.0,1.0,8.54,24.37
S554,0.19,On Short Edge,Grid,50,0.0,1.0,7.07,27.29
S555,0.29,On Long Edge,Grid,90,0.0,1.0,31.14,49.17
S556,0.29,On Long Edge,Grid,90,0.0,1.0,32.4,49.44
S557,0.29,On Long Edge,Grid,90,0.0,1.0,31.55,49.31
S558,0.39,On Short Edge,Honeycomb,50,0.0,1.0,5.04,17.59
S559,0.39,On Short Edge,Honeycomb,50,0.0,1.0,2.43,18.69
S560,0.39,On Short Edge,Honeycomb,50,0.0,1.0,3.5,18.82
S561,0.39,On Long Edge,Grid,50,0.0,1.0,28.33,30.89
S562,0.39,On Long Edge,Grid,50,0.0,1.0,29.51,30.88
S563,0.39,On Long Edge,Grid,50,0.0,1.0,27.93,31.27
S564,0.19,Flat,Honeycomb,70,0.0,1.0,28.88,41.46
S565,0.19,Flat,Honeycomb,70,0.0,1.0,29.34,41.56
S566,0.19,Flat,Honeycomb,70,0.0,1.0,30.87,41.59
S567,0.39,On Short Edge,Linear,90,0.0,1.0,6.47,32.43
S568,0.39,On Short Edge,Linear,90,0.0,1.0,8.17,30.26
S569,0.39,On Short Edge,Linear,90,0.0,1.0,7.47,32.17
S570,0.29,On Long Edge,Linear,90,0.0,1.0,26.76,53.51
S571,0.29,On Long Edge,Linear,90,0.0,1.0,26.93,52.28
S572,0.29,On Long Edge,Linear,90,0.0,1.0,26.9,52.17
S573,0.29,Flat,Linear,90,0.0,1.0,19.62,43.6
S574,0.29,Flat,Linear,90,0.0,1.0,22.81,44.18
S575,0.29,Flat,Linear,90,0.0,1.0,19.75,42.89
S576,0.39,On Long Edge,Honeycomb,90,0.0,1.0,29.45,43.28
S577,0.39,On Long Edge,Honeycomb,90,0.0,1.0,32.16,45.58
S578,0.39,On Long Edge,Honeycomb,90,0.0,1.0,29.4,46.8
S579,0.39,On Long Edge,Linear,50,0.0,1.0,24.47,34.9
S580,0.39,On Long Edge,Linear,50,0.0,1.0,20.34,37.48
S581,0.39,On Long Edge,Linear,50,0.0,1.0,21.66,33.6
S582,0.39,Flat,Linear,50,0.0,1.0,18.34,30.49
S583,0.39,Flat,Linear,50,0.0,1.0,18.76,28.64
S584,0.39,Flat,Linear,50,0.0,1.0,17.83,28.92
